,name,url,price,spec,exp,cat
50,Гурмиков Беслан Нуралиевич,https://prodoctorov.ru/moskva/vrach/675187-gurmikov/,0,"Хирург, абдоминальный хирург",16,"Высшая категория, Кандидат наук"
64,Машаева Лилия Леонидовна,https://prodoctorov.ru/moskva/vrach/206986-mashaeva/,2380,"Акушер, врач УЗИ, гинеколог, гинеколог-эндокринолог, гирудотерапевт, детский гинеколог, репродуктолог",47,"Высшая категория, Доктор наук"
110,Мазикина Людмила Михайловна,https://prodoctorov.ru/moskva/vrach/215400-mazikina/,1050,"Гинеколог, акушер, врач УЗИ, маммолог, физиотерапевт",33,"Высшая категория, Кандидат наук"
114,Каухова Анастасия Александровна,https://prodoctorov.ru/moskva/vrach/708538-kauhova/,2520,"Гинеколог, акушер, врач УЗИ, гинеколог-хирург",27,"Высшая категория, Кандидат наук"
118,Сергейко Ирина Владимировна,https://prodoctorov.ru/moskva/vrach/186202-sergyayko/,2205,"Гинеколог, акушер, гинеколог-эндокринолог",29,"Высшая категория, Кандидат наук"
122,Шешукова Наталья Алексеевна,https://prodoctorov.ru/moskva/vrach/56476-sheshukova/,2800,"Акушер, гинеколог, онколог-гинеколог",28,"Высшая категория, Доктор наук"
125,Зимина Наталья Николаевна,https://prodoctorov.ru/moskva/vrach/86757-zimina/,8900,"Гинеколог, акушер",27,"Высшая категория, Кандидат наук"
128,Першина Екатерина Вячеславовна,https://prodoctorov.ru/moskva/vrach/86809-pershina/,8900,"Гинеколог, акушер",17,"Высшая категория, Кандидат наук"
130,Павлухина Светлана Сергеевна,https://prodoctorov.ru/moskva/vrach/220560-seleznyova-pavluhina-/,5000,"Гинеколог, акушер, репродуктолог",23,"1 категория, Кандидат наук"
134,Хугаева Залина Константиновна,https://prodoctorov.ru/moskva/vrach/56297-hugaeva/,4000,"Гинеколог, акушер, гинеколог-хирург",28,"Высшая категория, Кандидат наук"
135,Амян Маринэ Исаковна,https://prodoctorov.ru/moskva/vrach/208588-amyan/,900,"Гинеколог, акушер, гинеколог-эндокринолог",33,"Высшая категория, Кандидат наук"
137,Тарасенко Юлия Наилевна,https://prodoctorov.ru/moskva/vrach/726216-tarasenko/,5000,"Гинеколог, акушер, гинеколог-хирург",16,"1 категория, Кандидат наук"
139,Кебедова Мукминат Ибрагимовна,https://prodoctorov.ru/moskva/vrach/206765-kebedova/,3380,"Гинеколог, акушер, врач УЗИ, маммолог",25,"Высшая категория, Кандидат наук"
141,Тер-Овакимян Армен Эдуардович,https://prodoctorov.ru/moskva/vrach/48086-ter-ovakimyan/,5000,"Гинеколог, акушер",35,"Высшая категория, Доктор наук"
142,Шаряфетдинова Фаиля Абдулхаевна,https://prodoctorov.ru/moskva/vrach/203641-sharyafetdinova/,2390,"Гинеколог, акушер, гинеколог-эндокринолог",26,"Высшая категория, Кандидат наук"
144,Хубецова Майя Темболовна,https://prodoctorov.ru/moskva/vrach/297136-hubecova/,8900,"Гинеколог, акушер",32,"Высшая категория, Кандидат наук"
146,Гордеева Виктория Леонидовна,https://prodoctorov.ru/moskva/vrach/394092-gordeeva/,5000,"Репродуктолог, акушер, гинеколог",30,"Высшая категория, Кандидат наук"
163,Зульбалаева Диляра Файзрахмановна,https://prodoctorov.ru/moskva/vrach/159821-zulbalaeva/,2750,"Репродуктолог, акушер, гинеколог",28,"Высшая категория, Кандидат наук"
257,Мисник Виктория Викторовна,https://prodoctorov.ru/moskva/vrach/87150-misnik/,8900,"Акушер, гинеколог",23,"Высшая категория, Кандидат наук"
276,Артемьева Мария Александровна,https://prodoctorov.ru/moskva/vrach/65282-minasyan/,2760,"Гинеколог, акушер, врач УЗИ, гинеколог-эндокринолог",28,"Высшая категория, Кандидат наук"
299,Ероян Лиана Хачатуровна,https://prodoctorov.ru/moskva/vrach/86749-eroyan/,8900,"Гинеколог, акушер",36,"Высшая категория, Кандидат наук"
328,Костина Марина Анатольевна,https://prodoctorov.ru/moskva/vrach/830592-kostina/,3500,"Акушер, гинеколог, гинеколог-эндокринолог, маммолог",20,"1 категория, Кандидат наук"
338,Панюкова Елена Магомедсаидовна,https://prodoctorov.ru/moskva/vrach/881307-panyukova/,2100,"Акушер, гинеколог, детский гинеколог",23,"Высшая категория, Кандидат наук"
340,Онищенко Ирина Николаевна,https://prodoctorov.ru/moskva/vrach/220336-onishenko/,4300,"Гинеколог, акушер, врач УЗИ",36,"Высшая категория, Кандидат наук"
350,Гуменная Ольга Игоревна,https://prodoctorov.ru/moskva/vrach/858047-gumennaya/,2390,"Гинеколог, акушер, врач УЗИ, гирудотерапевт, детский гинеколог",26,"Высшая категория, Доктор наук"
355,Керимова Зинаида Мусаевна,https://prodoctorov.ru/moskva/vrach/86767-kerimova/,8900,"Гинеколог, акушер",30,"Высшая категория, Кандидат наук"
358,Губарева Мария Сергеевна,https://prodoctorov.ru/moskva/vrach/508039-gubareva/,1900,"Акушер, гинеколог",26,"1 категория, Кандидат наук"
367,Сущевич Любовь Вячеславовна,https://prodoctorov.ru/moskva/vrach/222677-sushevich/,4900,"Гинеколог, акушер",17,"Высшая категория, Кандидат наук"
377,Геворкян Гоар Ашотовна,https://prodoctorov.ru/moskva/vrach/625770-gevorkyan/,2500,"Акушер, гинеколог, физиотерапевт",19,"Высшая категория, Кандидат наук"
381,Кравчук Оксана Святославовна,https://prodoctorov.ru/moskva/vrach/372258-kravchuk/,2500,"Гинеколог-эндокринолог, акушер, врач УЗИ, гинеколог, детский гинеколог, репродуктолог, эндоскопист",28,"Высшая категория, Кандидат наук"
396,Гришин Игорь Игоревич,https://prodoctorov.ru/moskva/vrach/457770-grishin/,9000,"Акушер, гинеколог, онколог-гинеколог",30,"Высшая категория, Профессор"
399,Бреусенко Валентина Григорьевна,https://prodoctorov.ru/moskva/vrach/58487-breusenko/,13200,"Гинеколог, акушер",60,"Высшая категория, Доктор наук"
401,Бондаренко Клавдия Васильевна,https://prodoctorov.ru/moskva/vrach/86729-bondarenko/,8900,"Гинеколог, акушер",35,"Высшая категория, Кандидат наук"
421,Шеметьева Марина Ивановна,https://prodoctorov.ru/moskva/vrach/209278-shemeteva/,2400,"Гинеколог, акушер, врач УЗИ, гинеколог-эндокринолог, маммолог",37,"Высшая категория, Кандидат наук"
422,Гущин Владимир Игоревич,https://prodoctorov.ru/moskva/vrach/40787-gushin/,2150,"Гинеколог, акушер, врач УЗИ",25,"1 категория, Кандидат наук"
426,Кондратьева Елена Николаевна,https://prodoctorov.ru/moskva/vrach/639642-kondrateva/,3500,"Гинеколог, акушер, гинеколог-эндокринолог, маммолог",43,"Высшая категория, Доктор наук"
434,Есина Светлана Вячеславовна,https://prodoctorov.ru/moskva/vrach/207566-esina/,2400,"Гинеколог, акушер, врач УЗИ",42,"Высшая категория, Кандидат наук"
438,Хейдар Лейла Хусейновна,https://prodoctorov.ru/moskva/vrach/65070-hyaydar/,2805,"Гинеколог, акушер",32,"Высшая категория, Кандидат наук"
441,Бреслав Ирина Юрьевна,https://prodoctorov.ru/moskva/vrach/86731-breslav/,8900,"Гинеколог, акушер",25,"Высшая категория, Доктор наук"
442,Купцова Татьяна Ильинична,https://prodoctorov.ru/moskva/vrach/209270-kupcova/,2400,"Гинеколог, акушер, гемостазиолог, гинеколог-эндокринолог, маммолог",19,"Высшая категория, Кандидат наук"
445,Беляева Людмила Александровна,https://prodoctorov.ru/moskva/vrach/186477-belyaeva/,3340,"Гинеколог, акушер, врач УЗИ",28,"Высшая категория, Кандидат наук"
452,Хоецян Сюзи Рафаэловна,https://prodoctorov.ru/moskva/vrach/204443-hoecyan/,6500,"Гинеколог, акушер",22,"Высшая категория, Кандидат наук"
453,Зенкова Людмила Михайловна,https://prodoctorov.ru/moskva/vrach/242988-zenkova/,2500,"Гинеколог, акушер",41,"Высшая категория, Кандидат наук"
455,Шенгелия Екатерина Георгиевна,https://prodoctorov.ru/moskva/vrach/206700-shengeliya/,2300,"Гинеколог, акушер, врач УЗИ, гинеколог-эндокринолог",22,"Высшая категория, Кандидат наук"
456,Сулейманова Зулейха Абакаровна,https://prodoctorov.ru/moskva/vrach/86565-sulyaymanova/,3060,"Гинеколог, акушер",27,"Высшая категория, Кандидат наук"
469,Душкина Ирина Александровна,https://prodoctorov.ru/moskva/vrach/27930-dushkina/,6000,"Гинеколог, акушер, гинеколог-эндокринолог",23,"Высшая категория, Кандидат наук"
489,Евсеева Ольга Тихоновна,https://prodoctorov.ru/moskva/vrach/209271-evseeva/,2400,"Гинеколог, акушер, венеролог, врач УЗИ, дерматолог",35,"Высшая категория, Кандидат наук"
490,Караганова Елена Ярославна,https://prodoctorov.ru/moskva/vrach/208352-karaganova/,8900,"Гинеколог, акушер",35,"Высшая категория, Кандидат наук"
502,Лещанкина Светлана Николаевна,https://prodoctorov.ru/moskva/vrach/204282-leshankina/,4500,"Гинеколог, акушер",25,"Высшая категория, Кандидат наук"
515,Строкова Татьяна Юрьевна,https://prodoctorov.ru/moskva/vrach/66365-strokova/,2500,"Гинеколог, акушер, врач УЗИ, гинеколог-эндокринолог",37,"Высшая категория, Кандидат наук"
526,Шумина Анна Валерьевна,https://prodoctorov.ru/moskva/vrach/126788-shumina/,3500,"Гинеколог, акушер",29,"Высшая категория, Кандидат наук"
527,Мамедова Хумар Мусаевна,https://prodoctorov.ru/moskva/vrach/215412-mamedova/,2000,"Гинеколог, акушер, врач УЗИ, детский гинеколог",29,"Высшая категория, Кандидат наук"
531,Савинова Елена Борисовна,https://prodoctorov.ru/moskva/vrach/86821-savinova/,8900,"Гинеколог, акушер",46,"Высшая категория, Доктор наук"
532,Губарева Вера Владимировна,https://prodoctorov.ru/moskva/vrach/216410-gubareva/,2400,"Гинеколог, акушер, врач УЗИ, детский гинеколог",40,"Высшая категория, Кандидат наук"
542,Шалина Раиса Ивановна,https://prodoctorov.ru/moskva/vrach/86858-shalina/,8900,"Гинеколог, акушер",51,"Высшая категория, Профессор"
553,Фомичева Елена Николаевна,https://prodoctorov.ru/moskva/vrach/86850-fomicheva/,8900,"Гинеколог, акушер",37,"Высшая категория, Кандидат наук"
560,Коваленко Марина Владимировна,https://prodoctorov.ru/moskva/vrach/55665-kovalenko/,3500,"Гинеколог, акушер, врач УЗИ",37,"Высшая категория, Кандидат наук"
569,Боровкова Екатерина Игоревна,https://prodoctorov.ru/moskva/vrach/208669-borovkova/,28160,"Гинеколог, акушер, онколог-гинеколог",23,"Высшая категория, Доктор наук"
570,Карпова Инна Олеговна,https://prodoctorov.ru/moskva/vrach/56889-karpova/,2500,"Гинеколог, акушер, врач УЗИ",21,"Высшая категория, Кандидат наук"
571,Манукян Лусине Андраниковна,https://prodoctorov.ru/moskva/vrach/328753-manukyan/,6900,"Гинеколог, акушер, гинеколог-эндокринолог",25,"Высшая категория, Кандидат наук"
573,Калашников Сергей Аркадьевич,https://prodoctorov.ru/moskva/vrach/86763-kalashnikov/,8900,"Гинеколог, акушер",40,"Высшая категория, Кандидат наук"
575,Коноплянников Александр Георгиевич,https://prodoctorov.ru/moskva/vrach/86772-konoplyannikov/,8900,"Гинеколог, акушер",37,"Высшая категория, Профессор"
587,Бутовская Ольга Николаевна,https://prodoctorov.ru/moskva/vrach/357518-butovskaya/,3500,"Гинеколог, акушер, врач УЗИ, гинеколог-эндокринолог",37,"Высшая категория, Кандидат наук"
599,Сапрыкина Ольга Алексеевна,https://prodoctorov.ru/moskva/vrach/61839-saprykina/,4200,"Гинеколог, акушер",41,"Высшая категория, Кандидат наук"
629,Князева Светлана Юрьевна,https://prodoctorov.ru/moskva/vrach/947826-knyazeva/,2100,"Гинеколог, акушер, врач УЗИ",24,"Высшая категория, Кандидат наук"
647,Чернышенко Татьяна Александровна,https://prodoctorov.ru/moskva/vrach/926797-chernyshenko/,9000,"Гинеколог, акушер, гинеколог-хирург",31,"Высшая категория, Кандидат наук"
661,Копьева Ольга Викторовна,https://prodoctorov.ru/moskva/vrach/430702-kopeva/,1890,"Гинеколог, акушер, врач УЗИ",19,"Высшая категория, Кандидат наук"
662,Гудебская Виктория Александровна,https://prodoctorov.ru/moskva/vrach/186491-gudebskaya/,8000,"Гинеколог, акушер, венеролог, врач УЗИ, гинеколог-эндокринолог",14,"Высшая категория, Кандидат наук"
672,Тихомиров Александр Леонидович,https://prodoctorov.ru/moskva/vrach/32609-tihomirov/,7000,"Гинеколог, акушер",45,"Высшая категория, Профессор"
682,Аванесян Нарине Степановна,https://prodoctorov.ru/moskva/vrach/471446-avanesyan/,4000,"Гинеколог, акушер",29,"Высшая категория, Кандидат наук"
683,Торопцова Людмила Юрьевна,https://prodoctorov.ru/moskva/vrach/461577-toropcova/,2200,"Акушер, врач УЗИ, гинеколог, маммолог",30,"Высшая категория, Кандидат наук"
688,Духин Армен Олегович,https://prodoctorov.ru/moskva/vrach/59391-duhin/,5900,"Гинеколог, акушер, гинеколог-хирург",27,"Высшая категория, Профессор"
712,Соболевская Алла Александровна,https://prodoctorov.ru/moskva/vrach/678692-sobolevskaya/,3880,"Акушер, гинеколог",50,"Высшая категория, Кандидат наук"
714,Хабаров Сергей Вячеславович,https://prodoctorov.ru/moskva/vrach/62239-habarov/,5000,"Гинеколог, акушер",38,"Высшая категория, Доктор наук"
715,Дубинин Андрей Анатольевич,https://prodoctorov.ru/moskva/vrach/206671-dubinin/,3500,"Гинеколог, акушер",26,"Высшая категория, Кандидат наук"
718,Каранашева Альбина Хасанбиевна,https://prodoctorov.ru/moskva/vrach/60834-karanasheva/,3000,"Гинеколог, акушер, гинеколог-хирург",25,"Высшая категория, Кандидат наук"
723,Носов Владимир Борисович,https://prodoctorov.ru/moskva/vrach/86670-nosov/,13200,"Онколог-гинеколог, акушер, гинеколог, гинеколог-хирург, онколог",24,"Высшая категория, Кандидат наук"
725,Камоева Светлана Викторовна,https://prodoctorov.ru/moskva/vrach/353156-kamoeva/,7500,"Гинеколог, акушер, гинеколог-хирург",38,"Высшая категория, Доктор наук"
731,Кузнецов Павел Андреевич,https://prodoctorov.ru/moskva/vrach/38092-kuznecov/,6300,"Гинеколог, акушер",19,"Высшая категория, Кандидат наук"
735,Коваленко Мария Александровна,https://prodoctorov.ru/moskva/vrach/364320-kovalenko/,4500,"Гинеколог, акушер, репродуктолог",27,"Высшая категория, Кандидат наук"
740,Шустикова Елена Фёдоровна,https://prodoctorov.ru/moskva/vrach/546260-shustikova/,2400,"Гинеколог, акушер, врач УЗИ, детский гинеколог",32,"Высшая категория, Кандидат наук"
781,Запертова Екатерина Юрьевна,https://prodoctorov.ru/moskva/vrach/41162-zapertova/,8900,"Гинеколог, акушер",23,"Высшая категория, Кандидат наук"
826,Осадчев Василий Борисович,https://prodoctorov.ru/moskva/vrach/48644-osadchev/,3500,"Гинеколог, акушер, гинеколог-хирург",28,"1 категория, Кандидат наук"
827,Тигиева Анна Вячеславовна,https://prodoctorov.ru/moskva/vrach/451950-tigieva/,5000,"Гинеколог, акушер",14,"1 категория, Кандидат наук"
837,Мосолова Мария Андреевна,https://prodoctorov.ru/moskva/vrach/656355-mosolova/,2500,"Гинеколог, акушер, врач УЗИ, перинатолог",23,"Высшая категория, Кандидат наук"
844,Кулынь Елена Вадимовна,https://prodoctorov.ru/moskva/vrach/61646-kulyn/,1500,"Гинеколог, акушер",38,"Высшая категория, Кандидат наук"
851,Горбунов Андрей Львович,https://prodoctorov.ru/moskva/vrach/27523-gorbunov/,17600,"Гинеколог, акушер",43,"Высшая категория, Кандидат наук"
853,Иванова Галина Павловна,https://prodoctorov.ru/moskva/vrach/371116-ivanova/,2000,"Гинеколог, акушер, онколог-гинеколог",43,"Высшая категория, Кандидат наук"
866,Иванова Наталья Владимировна,https://prodoctorov.ru/moskva/vrach/215640-ivanova/,8900,"Гинеколог, акушер, гинеколог-хирург",40,"Высшая категория, Кандидат наук"
874,Орлова Елена Николаевна,https://prodoctorov.ru/moskva/vrach/206936-orlova/,2100,"Гинеколог, акушер, врач УЗИ, детский гинеколог",29,"1 категория, Кандидат наук"
895,Магомедова Зарема Абдулмуталимовна,https://prodoctorov.ru/moskva/vrach/876382-magomedova/,2100,"Акушер, гинеколог, маммолог",24,"Высшая категория, Кандидат наук"
900,Лапшихин Александр Александрович,https://prodoctorov.ru/moskva/vrach/163814-lapshihin/,4000,"Репродуктолог, акушер, гинеколог",15,"1 категория, Кандидат наук"
901,Каппушева Лаура Магомедовна,https://prodoctorov.ru/moskva/vrach/66368-kappusheva/,6900,"Акушер, гинеколог, гинеколог-хирург",40,"Высшая категория, Профессор"
903,Чантурия Нана Гивиевна,https://prodoctorov.ru/moskva/vrach/288388-chanturiya/,2970,"Гинеколог, акушер, врач УЗИ",33,"Высшая категория, Кандидат наук"
911,Хименес Сантана-Сильвия Ирене,https://prodoctorov.ru/moskva/vrach/583677-himenes/,3500,"Гинеколог, акушер",28,"1 категория, Кандидат наук"
917,Аскольская Светлана Ивановна,https://prodoctorov.ru/moskva/vrach/86596-askolskaya/,4500,"Акушер, гинеколог",47,"Высшая категория, Доктор наук"
918,Субботин Дмитрий Николаевич,https://prodoctorov.ru/moskva/vrach/927239-subbotin/,3500,"Гинеколог, акушер",31,"Высшая категория, Кандидат наук"
924,Липман Андрей Давыдович,https://prodoctorov.ru/moskva/vrach/62045-lipman/,4500,"Гинеколог, акушер, врач УЗИ",40,"Высшая категория, Профессор"
929,Сласная Светлана Филипповна,https://prodoctorov.ru/moskva/vrach/87424-slasnaya/,3500,"Гинеколог, акушер, гинеколог-эндокринолог, диетолог, сексолог",26,"1 категория, Кандидат наук"
939,Семиошина Ольга Евгеньевна,https://prodoctorov.ru/moskva/vrach/23998-semioshina/,3500,"Гинеколог, акушер",26,"Высшая категория, Кандидат наук"
941,Джибладзе Теа Амирановна,https://prodoctorov.ru/moskva/vrach/136341-dzhibladze/,3000,"Гинеколог, акушер",34,"Высшая категория, Доктор наук"
950,Маркова Евгения Владимировна,https://prodoctorov.ru/moskva/vrach/64666-markova/,2900,"Гинеколог, акушер, детский гинеколог",16,"Высшая категория, Кандидат наук"
953,Терехина Ольга Викторовна,https://prodoctorov.ru/moskva/vrach/179615-terehina/,4000,"Гинеколог, акушер",27,"Высшая категория, Кандидат наук"
956,Марутян Марианна Робертовна,https://prodoctorov.ru/moskva/vrach/61647-marutyan/,1500,"Гинеколог, акушер, врач УЗИ, гинеколог-эндокринолог, онколог-гинеколог",25,"Высшая категория, Кандидат наук"
962,Ходжаев Геннадий Геннадьевич,https://prodoctorov.ru/moskva/vrach/85408-hodzhaev/,3700,"Гинеколог, акушер",27,"Высшая категория, Кандидат наук"
968,Тимченко Виктория Анатольевна,https://prodoctorov.ru/moskva/vrach/59394-timchenko/,2200,"Гинеколог, акушер",37,"Высшая категория, Кандидат наук"
972,Темишева Яха Ахмедовна,https://prodoctorov.ru/moskva/vrach/64669-temisheva/,8330,"Гинеколог, акушер",46,"Высшая категория, Кандидат наук"
974,Бахрех Елена Викторовна,https://prodoctorov.ru/moskva/vrach/869759-bahreh/,3900,"Гинеколог, акушер, врач УЗИ",25,"Высшая категория, Кандидат наук"
980,Кирия Марина Владимировна,https://prodoctorov.ru/moskva/vrach/288311-kiriya/,4500,"Гинеколог, акушер, гемостазиолог",38,"Высшая категория, Кандидат наук"
985,Чуданов Сергей Владимирович,https://prodoctorov.ru/moskva/vrach/64670-chudanov/,3880,"Гинеколог, акушер, врач УЗИ",24,"Высшая категория, Кандидат наук"
994,Белоглазова Ольга Юрьевна,https://prodoctorov.ru/moskva/vrach/365877-beloglazova/,2200,"Гинеколог, акушер",27,"Высшая категория, Кандидат наук"
997,Долгова Ирина Анатольевна,https://prodoctorov.ru/moskva/vrach/208643-dolgova/,3500,"Гинеколог, акушер, гинеколог-эндокринолог",29,"Высшая категория, Кандидат наук"
1043,Фоминых Елена Александровна,https://prodoctorov.ru/moskva/vrach/217529-fominyh/,3000,"Гинеколог, акушер, врач УЗИ",24,"1 категория, Кандидат наук"
1050,Кабанова Татьяна Ивановна,https://prodoctorov.ru/moskva/vrach/86761-kabanova/,8900,"Гинеколог, акушер",41,"Высшая категория, Кандидат наук"
1073,Белозерова Татьяна Александровна,https://prodoctorov.ru/moskva/vrach/86497-belozerova/,2805,"Гинеколог, акушер, онколог-гинеколог, эндокринолог",39,"Высшая категория, Кандидат наук"
1075,Ибрагимова Зарема Алмановна,https://prodoctorov.ru/moskva/vrach/63140-ibragimova/,6900,"Гинеколог, акушер",28,"Высшая категория, Кандидат наук"
1079,Погорелова Алла Борисовна,https://prodoctorov.ru/moskva/vrach/215588-pogorelova/,5000,"Гинеколог, акушер",62,"Высшая категория, Доктор наук"
1082,Самойлов Александр Реджинальдович,https://prodoctorov.ru/moskva/vrach/87416-samoylov/,2900,"Гинеколог, акушер, онколог-гинеколог",44,"Высшая категория, Кандидат наук"
1085,Никифорович Ирина Ивановна,https://prodoctorov.ru/moskva/vrach/550084-nikiforovich/,4000,"Гинеколог, акушер, врач УЗИ",29,"Высшая категория, Кандидат наук"
1135,Рыжова Ольга Викторовна,https://prodoctorov.ru/moskva/vrach/968245-ryzhova/,1600,"Гинеколог, акушер",26,"Высшая категория, Кандидат наук"
1154,Титов Денис Сергеевич,https://prodoctorov.ru/moskva/vrach/86316-titov/,0,"Гинеколог-хирург, пластический хирург, репродуктолог, онколог-гинеколог, гинеколог, акушер, гинеколог-эндокринолог",16,"Высшая категория, Кандидат наук"
1155,Хромылёв Алексей Викторович,https://prodoctorov.ru/moskva/vrach/45651-hromylyov/,0,"Акушер, гинеколог, врач УЗИ",15,"1 категория, Кандидат наук"
1156,Подтетенев Константин Сергеевич,https://prodoctorov.ru/moskva/vrach/36093-podtetenev/,0,"Акушер, гинеколог",16,"Высшая категория, Кандидат наук"
1158,Янковская Галина Францевна,https://prodoctorov.ru/moskva/vrach/384839-yankovskaya/,0,"Гинеколог, акушер, врач УЗИ, гинеколог-эндокринолог, репродуктолог",30,"Высшая категория, Кандидат наук"
1159,Жернаков Евгений Владиславович,https://prodoctorov.ru/moskva/vrach/854243-zhernakov/,3885,"Гинеколог, акушер, врач УЗИ",13,"Высшая категория, Кандидат наук"
1160,Майскова Ирина Юрьевна,https://prodoctorov.ru/moskva/vrach/289192-mayskova/,0,"Гинеколог, акушер, гинеколог-хирург, онколог",20,"Высшая категория, Кандидат наук"
1162,Салихова Ирина Рашитовна,https://prodoctorov.ru/moskva/vrach/142343-salihova/,0,"Гинеколог, акушер, врач УЗИ",18,"Высшая категория, Кандидат наук"
1163,Шабанова Елена Николаевна,https://prodoctorov.ru/moskva/vrach/229063-shabanova/,0,"Гинеколог, акушер",25,"Высшая категория, Кандидат наук"
1165,Владимирова Инна Владимировна,https://prodoctorov.ru/moskva/vrach/350350-vladimirova/,0,"Репродуктолог, акушер, гинеколог",13,"1 категория, Кандидат наук"
1173,Тоноян Нарине Марзпетуновна,https://prodoctorov.ru/moskva/vrach/375997-tonoyan/,0,"Гинеколог, акушер",12,"1 категория, Кандидат наук"
1174,Кузмичева Русмара Арсентьевна,https://prodoctorov.ru/moskva/vrach/935498-kuzmicheva/,0,"Гинеколог, акушер, врач УЗИ",43,"Высшая категория, Кандидат наук"
1178,Карапетян Виктория Лаертовна,https://prodoctorov.ru/moskva/vrach/457590-karapetyan/,0,"Акушер, гинеколог",26,"Высшая категория, Кандидат наук"
1180,Цинцадзе Диана Гиевна,https://prodoctorov.ru/moskva/vrach/86576-cincadze/,0,"Гинеколог, акушер, гинеколог-хирург",27,"Высшая категория, Кандидат наук"
1184,Гондаренко Анна Сергеевна,https://prodoctorov.ru/moskva/vrach/203810-gondarenko/,0,"Акушер, гинеколог, гинеколог-хирург",13,"2 категория, Кандидат наук"
1188,Малюта Елена Геннадьевна,https://prodoctorov.ru/moskva/vrach/203787-malyuta/,0,"Гинеколог, акушер",29,"Высшая категория, Кандидат наук"
1192,Макарищев Алексей Яковлевич,https://prodoctorov.ru/moskva/vrach/211767-makarishev/,0,"Гинеколог, акушер",27,"Высшая категория, Кандидат наук"
1193,Кузнецова Ольга Викторовна,https://prodoctorov.ru/moskva/vrach/294981-kuznecova/,0,"Акушер, гинеколог",27,"Высшая категория, Кандидат наук"
1194,Арабаджян Сергей Игоревич,https://prodoctorov.ru/moskva/vrach/980781-arabadzhyan/,6500,Акушер,15,"Высшая категория, Кандидат наук"
1197,Тимохина Елена Владимировна,https://prodoctorov.ru/moskva/vrach/209389-timohina/,0,"Акушер, гинеколог",26,"Высшая категория, Доктор наук"
1205,Кучерова Ольга Николаевна,https://prodoctorov.ru/moskva/vrach/288326-kucherova/,0,"Гинеколог, акушер",25,"Высшая категория, Кандидат наук"
1206,Слуханчук Екатерина Викторовна,https://prodoctorov.ru/moskva/vrach/203784-demidova/,0,"Гинеколог, акушер, врач УЗИ, онколог-гинеколог",22,"Высшая категория, Кандидат наук"
